name,easting,northing,elev,note,longitude,latitude,longitudeDMS,latitudeDMS
1,13384407.6868,322780.3619,670.9683,Schoolcraft,-83.40042755372284,42.38160599178369,"-83°24'1.5392""","42°22'53.7816"""
2,13378219.8503,322868.1361,700.3885,,-83.42332552850381,42.38203939568121,"-83°25'23.9719""","42°22'55.3418"""
3,13391891.1606,323286.1707,654.1404,,-83.3727087846845,42.38275483904531,"-83°22'21.7516""","42°22'57.9174"""
4,13402115.9968,323769.5438,633.1298,,-83.33484379519065,42.38374362206477,"-83°20'5.4377""","42°23'1.4770"""
5,13397176.5601,323317.1952,639.3214,,-83.35314559939194,42.38266706025899,"-83°21'11.3242""","42°22'57.6014"""
6,13407755.6066,324052.5912,630.1058,,-83.31395771295604,42.38432869739671,"-83°18'50.2478""","42°23'3.5833"""
7,13413135.9057,324458.5152,622.5618,,-83.29402520611877,42.38525615933678,"-83°17'38.4907""","42°23'6.9222"""
8,13417774.9426,324675.8464,630.3551,,-83.27684475060829,42.3856890110884,"-83°16'36.6411""","42°23'8.4804"""
9,13420120.0054,324712.7379,618.4921,,-83.26816335414675,42.385706609182286,"-83°16'5.3881""","42°23'8.5438"""
10,13423135.8847,324809.0355,625.3581,,-83.256996212099,42.385862311998785,"-83°15'25.1864""","42°23'9.1043"""
11,13427148.0466,324614.1341,624.213,,-83.24215593626488,42.38518145409414,"-83°14'31.7614""","42°23'6.6532"""
12,13430456.6887,321895.9977,612.007,,-83.23004589103427,42.37760136985505,"-83°13'48.1652""","42°22'39.3649"""
13,13438922.6963,322402.0242,637.0371,,-83.198689683605,42.37867188103348,"-83°11'55.2829""","42°22'43.2188"""
14,13442785.8754,323817.2584,635.5943,,-83.1843194167665,42.38240708599907,"-83°11'3.5499""","42°22'56.6655"""
15,13447114.0102,325103.4656,646.0238,This is a guess. No visible ground at this tower.,-83.16823333634787,42.385768296879505,"-83°10'5.6400""","42°23'8.7659"""
16,13453145.2418,323260.5899,638.6642,,-83.14600968039485,42.3804740219256,"-83°8'45.6348""","42°22'49.7065"""
17,13453465.0297,319604.5565,630.3336,,-83.14502253558909,42.37042982227448,"-83°8'42.0811""","42°22'13.5474"""
18,13459464.9203,316254.2422,620.3598,,-83.12300466130189,42.360996160347206,"-83°7'22.8168""","42°21'39.5862"""
19,13462439.2905,314847.0217,623.2091,,-83.1120780601696,42.35701393760858,"-83°6'43.4810""","42°21'25.2502"""
20,13466600.9953,310869.1248,604.4326,,-83.09690410704108,42.34592820768427,"-83°5'48.8548""","42°20'45.3415"""
21,13468663.8181,306925.356,597.9146,Mlk Jr.,-83.08949551268904,42.335021720421565,"-83°5'22.1838""","42°20'6.0782"""
